The input is n = 1000
Your square root of 1000 is 31.622776601685473
The numpy square root of 1000 is 31.622776601683793
The error precision is  1.680433570072637e-12
All tests past.
Congratulation on achieving your first assignment.
         108332 function calls (106025 primitive calls) in 0.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       74    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       28    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       85    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
      286    0.000    0.000    0.000    0.000 :0(find)
       19    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      113    0.000    0.000    0.000    0.000 :0(translate)
       19    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       85    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
   194/37    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       37    0.000    0.000    0.000    0.000 :0(compile)
       37    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       82    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    19/14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    19/14    0.000    0.000    0.000    0.000 :0(exec_dynamic)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       15    0.000    0.000    0.000    0.000 :0(create_builtin)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       15    0.000    0.000    0.000    0.000 :0(exec_builtin)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
