Tue Aug 22 15:35:09 2023    output.dat

         146117 function calls (141924 primitive calls) in 2.381 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2250(inverted)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
     1777    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      279    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       51    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:1137(set_linestyle)
      208    0.000    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
       64    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axis.py:1587(get_major_formatter)
       12    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:705(_compute_offset)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      118    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/markers.py:302(_set_fillstyle)
      439    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     1606    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:182(_deepcopy_atomic)
      218    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
      704    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       91    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/text.py:985(set_color)
       90    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
       39    0.000    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/font_manager.py:1200(findfont)
       54    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:760(__init__)
       51    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:3087(_update_cursor)
      118    0.000    0.000    0.005    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/markers.py:228(__init__)
       63    0.000    0.000    0.000    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/axes/_base.py:844(<dictcomp>)
