Fri May  5 16:38:17 2023    oldoutput.dat

         88164445 function calls (88156347 primitive calls) in 51.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      343    0.001    0.000    0.017    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1467(transform)
      685    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\copy.py:66(copy)
      373    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\font_manager.py:631(__hash__)
      446    0.001    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:734(_convert_units)
     8945    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1815    0.001    0.000    0.002    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\lib\function_base.py:346(iterable)
      942    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     8783    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
   168/42    0.001    0.000    0.010    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\copy.py:227(_deepcopy_dict)
      688    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\contextlib.py:104(__init__)
      433    0.001    0.000    0.006    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\copy.py:259(_reconstruct)
       20    0.001    0.000    0.029    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axis.py:58(__init__)
     5057    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000001F1BC98C180}
     2288    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1045    0.001    0.000    0.007    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\fromnumeric.py:2406(all)
      690    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2033(translate)
     6697    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:851(get_animated)
      198    0.001    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\colors.py:307(_to_rgba_no_colorcycle)
      610    0.001    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2597(get_matrix)
      277    0.001    0.000    0.001    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:1765(<dictcomp>)
